residue,element,mass,electron,radius
nDh,GN,17.03056,9,2.640064
nDh,GC,13.01864,7,2.640064
nDh,BOE2,17.00734,9,2.514288
nDh,BOE1,15.9994,8,2.514288
nDh,BCG,26.03728,14,2.514288
nD,GO,28.0101,14,2.640064
nD,GN,17.03056,9,2.640064
nD,GC,13.01864,7,2.640064
nD,BOE2,15.9994,8.5,2.82856
nD,BOE1,15.9994,8.5,2.82856
nD,BCG,26.03728,14,2.514288
nC,GO,28.0101,14,2.640064
nC,GN,17.03056,9,2.640064
nC,GC,13.01864,7,2.640064
nC,BSG,46.09258,24,2.57712
nC,BPG,1.00794,1,2.514288
nA,GO,28.0101,14,2.640064
nA,GN,17.03056,9,2.640064
nA,GC,28.05316,16,2.640064
cY,GO,44.0095,23,2.640064
cY,GN,15.01468,8,2.640064
cY,GC,13.01864,7,2.640064
cY,BCG,39.05592,21,2.200016
cY,BCE2,26.03728,14,2.200016
cY,BCE1,42.03668,20,2.200016
cX,GO,44.0095,23,2.640064
cX,GN,15.01468,8,2.640064
cX,GC,13.01864,7,2.640064
cX,BSG,46.09258,24,2.640064
cW,GO,44.0095,23,2.640064
cW,GN,15.01468,8,2.640064
cW,GC,13.01864,7,2.640064
cW,BPE,1.00794,1,2.200016
cW,BNE,39.03608,20,2.200016
cW,BCZ,26.03728,14,2.200016
cW,BCG,38.04798,20,2.200016
cW,BCE,26.03728,14,2.200016
cV,GO,44.0095,23,2.640064
cV,GN,15.01468,8,2.640064
cV,GC,13.01864,7,2.640064
cV,BCB,39.05592,24,2.640064
cT,GO,44.0095,23,2.640064
cT,GN,15.01468,8,2.640064
cT,GC,13.01864,7,2.640064
cT,BPG,1.00794,1,2.514288
cT,BOG,44.05256,24,2.514288
cS,GO,44.0095,23,2.640064
cS,GN,15.01468,8,2.640064
cS,GC,13.01864,7,2.640064
cS,BPG,1.00794,1,2.514288
cS,BOG,30.02598,16,2.514288
cR,GO,44.0095,23,2.640064
cR,GN,15.01468,8,2.640064
cR,GC,13.01864,7,2.640064
cR,BNN2,16.02262,8.5,2.82856
cR,BNN1,16.02262,8.5,2.82856
cR,BCZ,27.02538,14,2.514288
cR,BCG,39.05592,24,2.640064
cQ,GO,44.0095,23,2.640064
cQ,GN,15.01468,8,2.640064
cQ,GC,13.01864,7,2.640064
cQ,BOD,15.9994,8,2.514288
cQ,BND,16.02262,9,2.514288
cQ,BCD,40.06386,22,2.514288
cP,GO,44.0095,23,2.640064
cP,GN,14.00674,7,2.640064
cP,GC,13.01864,7,2.640064
cP,BCG,39.05592,24,2.640064
cN,GO,44.0095,23,2.640064
cN,GN,15.01468,8,2.640064
cN,GC,13.01864,7,2.640064
cN,BOD,15.9994,8,2.514288
cN,BND,16.02262,9,2.514288
cN,BCG,26.03728,14,2.514288
cM,GO,44.0095,23,2.640064
cM,GN,15.01468,8,2.640064
cM,GC,13.01864,7,2.640064
cM,BSD,75.15368,41,2.640064
cL,GO,44.0095,23,2.640064
cL,GN,15.01468,8,2.640064
cL,GC,13.01864,7,2.640064
cL,BCG,57.11426,33,2.640064
cK,GO,44.0095,23,2.640064
cK,GN,15.01468,8,2.640064
cK,GC,13.01864,7,2.640064
cK,BCG,39.05592,24,2.514288
cK,BCE,31.05714,17,3.457216
cI,GO,44.0095,23,2.640064
cI,GN,15.01468,8,2.640064
cI,GC,13.01864,7,2.640064
cI,BCG,57.11426,33,2.640064
cHe,GO,44.0095,23,2.640064
cHe,GN,15.01468,8,2.640064
cHe,GC,13.01864,7,2.640064
cHe,BNE,27.02538,14,2.200016
cHe,BND,16.02262,8,2.200016
cHe,BCG,39.05592,21,2.200016
cHd,GO,44.0095,23,2.640064
cHd,GN,15.01468,8,2.640064
cHd,GC,13.01864,7,2.640064
cHd,BNE,15.01468,7,2.200016
cHd,BND,28.03332,15,2.200016
cHd,BCG,39.05592,21,2.200016
cG,GO,44.0095,23,2.640064
cG,GN,15.01468,8,2.640064
cG,GC,14.02658,8,2.640064
cF,GO,44.0095,23,2.640064
cF,GN,15.01468,8,2.640064
cF,GC,13.01864,7,2.640064
cF,BCG,39.05592,21,2.200016
cF,BCE2,26.03728,14,2.200016
cF,BCE1,26.03728,14,2.200016
cEh,GO,44.0095,23,2.640064
cEh,GN,15.01468,8,2.640064
cEh,GC,13.01864,7,2.640064
cEh,BOE2,17.00734,9,2.514288
cEh,BOE1,15.9994,8,2.514288
cEh,BCD,40.06386,22,2.514288
cE,GO,44.0095,23,2.640064
cE,GN,15.01468,8,2.640064
cE,GC,13.01864,7,2.640064
cE,BOE2,15.9994,8.5,2.82856
cE,BOE1,15.9994,8.5,2.82856
cE,BCD,40.06386,22,2.514288
cDh,GO,44.0095,23,2.640064
cDh,GN,15.01468,8,2.640064
cDh,GC,13.01864,7,2.640064
cDh,BOE2,17.00734,9,2.514288
cDh,BOE1,15.9994,8,2.514288
cDh,BCG,26.03728,14,2.514288
cD,GO,44.0095,23,2.640064
cD,GN,15.01468,8,2.640064
cD,GC,13.01864,7,2.640064
cD,BOE2,15.9994,8.5,2.82856
cD,BOE1,15.9994,8.5,2.82856
cD,BCG,26.03728,14,2.514288
cC,GO,44.0095,23,2.640064
cC,GN,15.01468,8,2.640064
cC,GC,13.01864,7,2.640064
cC,BSG,46.09258,24,2.57712
cC,BPG,1.00794,1,2.514288
cA,GO,44.0095,23,2.640064
